2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
32764	32884	32237	31673	30866	30430	29848	29632	30156	29764	27881	27152
7971	7896	7718	7469	7480	7576	7591	7755	8184	8206	7583	7382
18690	18589	18380	17891	17680	17582	17332	17451	17650	17445	16373	15807
40026	40791	40650	40646	40146	40218	39670	39865	40901	40811	38760	38137
22354	22810	22403	21986	21458	21708	21594	22137	22839	22984	22235	22162
6685	6882	6746	6537	6567	6655	6585	6670	6461	6258	6007	5650
707	773	702	718	677	694	722	788	769	825	825	840
19178	19107	17866	16841	16155	15962	15719	16463	16237	15925	15253	15220
6990	7331	7328	7350	6799	6577	6381	6285	5977	5447	5044	4484
16538	18200	19029	19096	18618	19021	19293	19944	19381	18964	18101	16835
7534	8207	8302	8488	8152	8425	8619	8977	8943	9073	8946	8469
7121	7195	6915	6392	6278	6159	5732	6051	5632	5572	5321	5392
2380	2325	2100	1904	1840	1776	1662	1680	1476	1398	1290	1220
